LotArea,OverallQual,OverallCond,GrLivArea,FullBath,BedroomAbvGr,GarageCars,SaleCondition,SalePrice
8450,7,5,1710,2,3,2,Normal,208500
9600,6,8,1262,2,3,2,Normal,181500
11250,7,5,1786,2,3,2,Normal,223500
9550,7,5,1717,1,3,3,Abnorml,140000
14260,8,5,2198,2,4,3,Normal,250000
14115,5,5,1362,1,1,2,Normal,143000
10084,8,5,1694,2,3,2,Normal,307000
10382,7,6,2090,2,3,2,Normal,200000
6120,7,5,1774,2,2,2,Abnorml,129900
7420,5,6,1077,1,2,1,Normal,118000
11200,5,5,1040,1,3,1,Normal,129500
11924,9,5,2324,3,4,3,Partial,345000
12968,5,6,912,1,2,1,Normal,144000
10652,7,5,1494,2,3,3,Partial,279500
10920,6,5,1253,1,2,1,Normal,157000
6120,7,8,854,1,2,2,Normal,132000
11241,6,7,1004,1,2,2,Normal,149000
10791,4,5,1296,2,2,2,Normal,90000
13695,5,5,1114,1,3,2,Normal,159000
7560,5,6,1339,1,3,1,Abnorml,139000
14215,8,5,2376,3,4,3,Partial,325300
7449,7,7,1108,1,3,1,Normal,139400
9742,8,5,1795,2,3,2,Normal,230000
4224,5,7,1060,1,3,2,Normal,129900
8246,5,8,1060,1,3,1,Normal,154000
14230,8,5,1600,2,3,3,Normal,256300
7200,5,7,900,1,3,2,Normal,134800
11478,8,5,1704,2,3,3,Normal,306000
16321,5,6,1600,1,2,1,Normal,207500
6324,4,6,520,1,1,1,Normal,68500
8500,4,4,1317,1,3,1,Normal,40000
8544,5,6,1228,1,3,1,Normal,149350
11049,8,5,1234,2,3,2,Normal,179900
10552,5,5,1700,1,4,2,Normal,165500
7313,9,5,1561,2,2,2,Normal,277500
13418,8,5,2452,3,4,3,Normal,309000
10859,5,5,1097,1,3,2,Normal,145000
8532,5,6,1297,1,3,2,Normal,153000
7922,5,7,1057,1,3,1,Abnorml,109000
6040,4,5,1152,2,2,0,AdjLand,82000
8658,6,5,1324,2,3,2,Abnorml,160000
16905,5,6,1328,1,2,1,Normal,170000
9180,5,7,884,1,2,2,Normal,144000
9200,5,6,938,1,3,1,Normal,130250
7945,5,6,1150,1,3,1,Normal,141000
7658,9,5,1752,2,2,2,Normal,319900
12822,7,5,2149,1,1,2,Abnorml,239686
11096,8,5,1656,2,3,3,Normal,249700
4456,4,5,1452,2,2,0,Partial,113000
7742,5,7,955,1,3,1,Normal,127000
13869,6,6,1470,2,3,2,Normal,177000
6240,6,6,1176,1,3,2,Normal,114500
8472,5,5,816,1,2,2,Normal,110000
50271,9,5,1842,0,0,3,Normal,385000
7134,5,5,1360,1,3,2,Normal,130000
10175,6,5,1425,2,3,2,Normal,180500
2645,8,5,1739,2,3,2,Abnorml,172500
11645,7,5,1720,2,3,2,Normal,196500
13682,10,5,2945,3,3,3,Partial,438780
7200,5,7,780,1,2,1,Normal,124900
13072,6,5,1158,1,3,2,Partial,158000
7200,5,7,1111,1,3,1,Normal,101000
6442,8,5,1370,2,2,2,Normal,202500
10300,7,6,1710,2,3,2,Normal,140000
9375,7,5,2034,2,3,2,Normal,219500
9591,8,5,2473,2,4,3,Normal,317000
19900,7,5,2207,2,3,2,Normal,180000
10665,7,5,1479,2,3,2,Normal,226000
4608,4,6,747,1,2,1,Normal,80000
15593,7,4,2287,2,3,2,Normal,225000
13651,7,6,2223,2,3,2,Normal,244000
7599,4,6,845,1,2,2,Normal,129500
10141,7,5,1718,2,3,2,Normal,185000
10200,5,7,1086,1,3,2,Normal,144900
5790,3,6,1605,2,3,1,Normal,107400
1596,4,5,988,1,2,1,Normal,91000
8475,4,7,952,1,2,1,Normal,135750
8635,5,5,1285,1,2,1,Normal,127000
10778,4,5,1768,2,4,0,Normal,136500
10440,5,6,1230,1,2,2,Normal,110000
13000,6,6,2142,2,4,1,Normal,193500
4500,6,5,1337,2,2,2,Normal,153500
10206,8,5,1563,2,3,3,Normal,245000
8892,5,5,1065,1,3,2,Normal,126500
8530,7,5,1474,2,3,2,Normal,168500
16059,8,5,2417,2,4,2,Normal,260000
11911,6,5,1560,2,3,2,Normal,174000
3951,6,5,1224,2,2,2,Partial,164500
8470,3,2,1526,1,2,0,Abnorml,85000
8070,4,5,990,1,3,0,Normal,123600
7200,4,5,1040,1,2,2,Normal,109900
8500,5,3,1235,1,2,2,Abnorml,98600
13360,5,7,964,1,2,2,Normal,163500
7200,6,6,2291,2,4,2,Normal,133900
9337,6,5,1786,2,3,2,Normal,204750
9765,6,8,1470,2,3,2,Normal,185000
10264,7,5,1588,2,3,2,Normal,214000
10921,4,5,960,1,3,1,Normal,94750
10625,5,5,835,1,2,1,Abnorml,83000
9320,4,5,1225,1,3,0,Normal,128950
10603,6,7,1610,2,3,2,Normal,205000
9206,6,5,1732,2,3,2,Normal,178000
7018,5,5,1535,2,4,2,Alloca,118964
10402,7,5,1226,2,3,3,Normal,198900
7758,7,4,1818,1,4,1,Normal,169500
9375,8,5,1992,2,3,2,Normal,250000
10800,4,7,1047,1,2,1,Normal,100000
6000,5,5,789,1,2,1,Partial,115000
8500,5,7,1517,2,3,0,Normal,115000
11751,6,6,1844,2,3,2,Normal,190000
9525,6,4,1855,2,4,1,Normal,136900
7750,7,5,1430,2,3,2,Normal,180000
9965,7,5,2696,2,4,3,Partial,383970
21000,6,5,2259,2,3,2,Abnorml,217000
7259,6,8,2320,2,3,1,Normal,259500
3230,6,5,1458,2,2,2,Normal,176000
11616,5,5,1092,1,3,1,Normal,139000
8536,5,5,1125,1,2,2,Partial,155000
12376,7,5,3222,3,5,3,Normal,320000
8461,6,5,1456,2,3,2,Partial,163990
21453,6,5,988,1,1,2,Normal,180000
6060,4,5,1123,1,3,1,Normal,100000
9464,6,7,1080,1,3,1,Normal,136000
7892,6,5,1199,2,2,2,Normal,153900
17043,6,5,1586,2,3,2,Normal,181000
6780,6,8,754,1,2,0,Normal,84500
4928,6,5,958,2,2,2,Normal,128000
4388,5,7,840,1,3,0,Normal,87000
7590,6,5,1348,1,3,2,Normal,155000
8973,5,7,1053,1,3,2,Abnorml,150000
14200,7,6,2157,2,4,2,Normal,226000
12224,6,5,2054,2,3,2,Normal,244000
7388,5,6,1327,1,3,2,Normal,150750
6853,8,5,1296,2,2,2,Normal,220000
10335,5,6,1721,2,3,2,Normal,180000
10400,7,6,1682,2,3,2,Normal,174000
10355,5,5,1214,2,3,1,Normal,143000
11070,7,5,1959,3,5,3,Family,171000
9066,8,5,1852,2,3,3,Normal,230000
15426,6,5,1764,2,3,2,Normal,231500
10500,4,5,864,1,3,0,Normal,115000
11645,7,5,1734,2,3,2,Normal,260000
8520,5,4,1385,2,4,2,Normal,166000
10335,7,5,1501,2,3,2,Normal,204000
9100,5,5,1728,2,6,2,Abnorml,125000
2522,6,5,1709,2,3,2,Normal,130000
6120,5,7,875,1,2,1,Normal,105000
9505,7,5,2035,2,3,2,Normal,222500
7500,7,5,1080,1,3,0,Normal,141000
6240,5,4,1344,1,3,1,Normal,115000
10356,5,6,969,1,3,2,Normal,122000
13891,8,5,1710,2,2,3,Partial,372402
14803,6,5,1993,2,4,2,Normal,190000
13500,6,7,1252,1,1,2,Normal,235000
11340,6,5,1200,1,4,1,Family,125000
9600,6,5,1096,1,2,0,Normal,79000
7200,5,7,1040,1,2,2,Normal,109500
12003,8,5,1968,2,4,3,Partial,269500
12552,7,5,1947,2,3,2,Normal,254900
19378,7,5,2462,2,4,2,Partial,320000
11120,6,6,1232,2,3,2,Normal,162500
13688,9,5,2668,2,3,3,Normal,412500
12182,7,5,1541,2,3,2,Partial,220000
5500,4,6,882,1,1,0,Normal,103200
5400,6,7,1616,2,3,1,Normal,152000
10106,5,7,1355,2,4,0,Normal,127500
10708,5,5,1867,1,2,1,Normal,190000
10562,8,5,2161,1,3,3,Partial,325624
8244,7,5,1720,2,3,2,Normal,183500
16669,8,6,1707,2,2,2,Normal,228000
12358,5,6,1382,1,2,2,Normal,128500
31770,6,5,1656,1,3,2,Normal,215000
5306,7,7,1767,2,2,2,Normal,239000
10197,6,5,1362,1,3,2,Normal,163000
12416,6,5,1651,2,3,2,Normal,184000
12615,6,7,2158,2,4,2,Normal,243000
10029,6,5,2060,2,4,2,Normal,211000
13650,5,5,1920,2,4,2,Normal,172500
17423,9,5,2234,2,1,3,Partial,501837
8520,5,6,968,1,2,2,Normal,100000
2117,6,5,1525,2,3,2,Normal,177000
7588,7,6,1802,1,4,1,Normal,200100
9060,5,6,1340,1,3,1,Normal,120000
11426,7,5,2082,2,3,2,Normal,200000
7438,5,8,1252,1,3,2,Normal,127000
22950,10,9,3608,2,4,3,Normal,475000
9947,7,5,1217,2,3,2,Normal,173000
10410,5,7,1656,2,3,1,Normal,135000
7018,5,5,1224,0,2,2,Alloca,153337
4923,8,5,1593,1,0,2,Normal,286000
10570,8,8,2727,2,3,2,Normal,315000
7472,7,9,1479,1,4,2,Normal,184000
9017,7,5,1431,2,3,2,Normal,192000
2522,7,5,1709,2,3,2,Normal,130000
7180,5,7,864,1,3,1,Normal,127000
2280,6,6,1456,2,3,2,Normal,148500
9416,7,5,1726,2,3,3,Partial,311872
25419,8,4,3112,2,4,2,Abnorml,235000
5520,6,6,2229,1,5,0,Abnorml,104000
9591,8,5,1713,2,3,3,Normal,274900
8546,4,5,1121,2,2,2,Normal,140000
10125,6,6,1279,2,3,2,Normal,171500
7000,6,6,1310,2,2,1,Normal,112000
4438,6,5,848,1,1,2,Normal,149000
3500,5,7,1284,1,2,1,Normal,110000
11851,7,5,1442,2,3,2,Normal,180500
13673,5,5,1696,1,3,1,Normal,143900
12493,4,5,1100,1,3,1,Normal,141000
14364,7,5,2062,2,3,2,Normal,277000
8250,6,7,1092,1,3,2,Normal,145000
5604,5,6,864,1,2,0,Normal,98000
10420,6,5,1212,2,3,2,Normal,186000
8640,7,5,1852,2,3,2,Partial,252678
13568,5,5,990,1,3,2,Normal,156000
10900,6,7,1392,1,3,1,Normal,161750
10011,5,6,1236,1,2,1,Normal,134450
8450,7,5,1436,2,3,2,Normal,210000
9906,4,4,1328,1,3,1,Family,107000
15660,7,9,1954,1,3,2,Normal,311500
3010,7,5,1248,2,2,2,Partial,167240
8990,7,5,1498,2,2,2,Partial,204900
8068,6,5,2267,2,4,2,Normal,200000
11475,6,6,1552,2,3,2,Normal,179900
10500,4,6,864,1,2,2,Abnorml,97000
13472,10,5,2392,2,3,3,Normal,386250
1680,5,5,1302,2,3,1,Abnorml,112000
9950,7,5,2520,2,4,3,Abnorml,290000
1869,6,6,987,1,2,1,Normal,106000
8521,5,5,912,1,3,1,Normal,125000
3182,7,5,1555,2,2,2,Normal,192500
8760,6,6,1194,1,3,1,Normal,148000
15138,8,5,2794,2,4,3,Normal,403000
1680,6,5,987,1,2,1,Normal,94500
10650,5,6,894,1,3,1,Normal,128200
7851,6,5,1960,2,4,2,Normal,216500
1680,6,3,987,1,2,1,Normal,89500
8773,7,5,1414,2,3,2,Normal,185500
9453,7,7,1744,2,3,2,Normal,194500
12030,8,5,1694,2,3,3,Partial,318000
8741,6,4,1487,1,3,1,Normal,113000
9000,8,5,1566,2,3,2,Normal,262500
3880,5,9,866,1,2,0,Normal,110500
5000,5,4,1440,1,3,1,Normal,79000
10762,6,6,1217,1,3,1,Normal,120000
8880,7,5,2110,2,3,2,Normal,205000
10400,7,5,1872,2,3,2,Normal,241500
9142,6,8,1928,2,4,1,Normal,137000
11310,6,5,1375,1,2,2,Normal,140000
11317,7,5,1668,2,3,2,Normal,180000
159000,6,7,2144,2,4,2,Normal,277000
5350,3,2,1306,1,3,0,Normal,76500
4750,8,5,1625,2,2,2,Family,235000
8366,6,5,1640,2,3,2,Normal,173000
9350,6,7,1302,2,3,1,Normal,158000
8400,5,6,1314,1,3,1,Normal,145000
8738,7,5,2291,2,4,2,Normal,230000
8791,6,5,1728,2,3,2,Normal,207500
8814,7,5,1604,2,3,2,Abnorml,220000
12435,7,5,1792,2,3,2,Normal,231500
12702,5,5,882,1,2,1,Normal,97000
19296,6,5,1382,1,3,2,Normal,176000
9588,8,5,2574,2,3,3,Partial,276000
8471,6,7,1212,1,3,2,Normal,151000
5500,5,7,1316,1,3,2,Normal,130000
5232,5,5,764,1,2,2,Normal,73000
12090,6,6,1422,2,3,2,Normal,175500
11207,6,5,1511,2,3,2,Normal,185000
8400,5,8,2192,2,4,1,Normal,179500
6900,5,6,778,1,2,1,Normal,120500
7917,6,7,1113,1,3,1,Normal,148000
10728,8,5,1939,2,3,3,Partial,266000
39104,7,7,1363,1,2,2,Normal,241500
11764,8,7,2270,2,4,3,Normal,290000
9600,6,6,1632,2,3,1,Normal,139000
8314,5,7,816,1,2,1,Normal,124500
7264,7,7,1548,2,3,2,Normal,205000
9196,7,5,1560,2,3,2,Normal,201000
19138,4,5,864,1,2,2,Normal,141000
14450,9,5,2121,2,3,3,Partial,415298
10005,7,5,2022,2,4,2,Normal,192000
11287,7,6,1982,2,3,2,Normal,228500
7200,6,5,1262,2,2,2,Partial,185000
5063,7,5,1314,2,2,2,Normal,207500
9612,8,5,1468,2,3,3,Partial,244600
8012,6,5,1575,2,2,2,Normal,179200
4251,7,5,1250,2,2,2,Partial,164700
9786,6,7,1734,1,3,2,Normal,159000
8125,4,4,858,1,3,0,Normal,88000
9819,5,5,900,1,3,1,Normal,122000
8730,6,7,1396,1,3,1,Normal,153575
15611,8,5,1919,2,3,2,Partial,233230
5687,5,6,1716,2,6,0,Normal,135900
11409,5,4,1716,1,3,1,Normal,131000
16659,7,7,2263,2,3,2,Normal,235000
9600,6,5,1644,1,3,2,Normal,167000
7937,6,6,1003,1,3,2,Normal,142500
13710,5,5,1558,1,4,1,Normal,152000
7399,7,5,1950,2,3,2,Normal,239000
11700,6,6,1743,1,3,2,Normal,175000
14000,6,8,1152,1,3,1,Family,158500
15750,5,5,1336,1,2,1,Normal,157000
16226,8,5,2452,2,4,2,Normal,267000
13704,7,5,1541,2,3,3,Normal,205000
9800,5,7,894,1,3,2,Abnorml,149900
18386,7,9,3493,3,3,3,Normal,295000
10386,8,5,2000,2,3,3,Normal,305900
13474,7,5,2243,2,4,3,Normal,225000
7920,6,7,1406,1,3,0,Normal,89500
12342,4,5,861,1,1,2,Normal,82500
12378,9,5,1944,2,3,3,Normal,360000
7685,6,5,1501,2,3,2,Normal,165600
8000,6,6,972,1,2,1,Normal,132000
7800,5,7,1118,1,3,2,Normal,119900
215245,7,5,2036,2,3,2,Normal,375000
9600,7,7,1641,1,3,2,Normal,178000
7795,7,5,1432,2,3,2,Normal,188500
13005,7,7,2353,2,4,2,Normal,260000
9000,8,5,1959,2,3,3,Normal,270000
9900,7,5,2646,2,4,3,Normal,260000
14115,7,5,1472,2,3,2,Normal,187500
16259,9,5,2596,3,4,3,Partial,342643
12099,8,5,2468,2,4,3,Normal,354000
10380,7,5,2730,2,4,2,Normal,301000
5820,3,8,1163,1,3,1,Normal,126175
11275,7,7,2978,2,5,2,Normal,242000
5000,5,6,803,1,2,2,Normal,87000
10846,8,5,1719,1,1,2,Normal,324000
11600,6,5,1383,1,3,1,Normal,145250
11888,6,6,2134,2,5,2,Normal,214500
6402,5,5,1192,1,3,1,Normal,78000
10624,5,4,1728,2,6,1,Normal,119000
8176,5,6,1056,1,3,1,Normal,139000
10655,8,5,1629,2,3,3,Normal,284000
8198,7,5,1358,2,2,2,Normal,207000
9042,6,5,1638,2,3,2,Normal,192000
164660,5,6,1786,2,3,2,Normal,228950
14157,9,5,1922,2,3,3,Normal,377426
9135,7,5,1536,2,3,2,Normal,214000
14145,7,7,1621,2,3,2,Normal,202500
12400,6,7,1215,1,3,1,Normal,155000
14191,8,5,1908,2,4,2,Normal,202900
8400,4,4,841,1,2,1,Normal,82000
8544,3,4,1040,2,2,2,Normal,87500
8849,9,5,1684,2,2,2,Normal,266000
2592,5,3,1112,1,3,1,Normal,85000
6435,6,5,1577,1,3,1,Normal,140200
12772,6,8,958,1,2,1,Normal,151500
17600,6,5,1478,2,3,2,Normal,157500
2448,7,5,1626,2,2,2,Normal,154000
20431,9,5,2728,2,4,3,Partial,437154
7820,9,5,1869,2,2,2,Partial,318061
5271,7,5,1453,1,2,2,Abnorml,190000
9084,5,6,1111,1,3,1,Normal,95000
8520,6,8,720,1,2,2,Normal,105900
8400,6,5,1595,1,2,1,Normal,140000
11249,6,5,1200,2,3,2,Normal,177500
9248,6,6,1167,2,3,2,Normal,173000
4224,5,5,1142,1,3,2,Normal,134000
6930,5,4,1352,1,3,1,Abnorml,130000
12011,8,5,1924,2,3,2,Normal,280000
7540,6,6,912,1,2,2,Normal,156000
9144,5,5,1505,1,3,1,Normal,145000
7301,7,5,1922,3,4,2,Normal,198500
1680,6,8,987,1,2,1,Normal,118000
18800,6,5,1574,2,3,2,Normal,190000
10690,5,7,1344,1,3,1,Normal,147000
9500,6,5,1394,1,3,2,Normal,159000
9150,6,5,1431,1,3,1,Normal,165000
7800,5,6,1268,1,2,1,Normal,132000
9830,5,7,1287,1,3,2,Normal,162000
8121,6,5,1664,2,3,2,Normal,172400
17120,4,4,1588,2,4,2,Normal,134432
7175,6,5,752,1,2,1,Normal,125000
10634,5,6,1319,1,3,1,Normal,123000
8200,7,5,1928,2,4,2,Normal,219500
10020,1,1,904,0,1,0,Normal,61000
8846,5,5,914,1,2,2,Normal,148000
11143,8,5,2466,3,4,2,Normal,340000
11394,9,2,1856,1,1,3,Partial,394432
8123,6,5,1800,2,3,2,Normal,179000
5000,5,6,1691,2,3,1,Normal,127000
7200,7,5,1301,2,2,2,Partial,187750
9245,7,5,1797,2,3,2,Normal,213500
9000,6,3,784,1,2,2,Normal,76000
53107,6,5,1953,2,3,2,Normal,240000
3182,8,5,1269,2,2,2,Normal,192000
8410,5,3,1184,1,5,0,AdjLand,81000
7200,6,6,1125,1,3,1,Abnorml,125000
9382,7,5,1479,2,3,2,Normal,191000
12474,10,5,2332,2,3,3,Partial,426000
8405,5,8,1367,1,4,1,Normal,119000
12209,6,5,1961,2,3,2,Normal,215000
8339,5,7,882,1,3,1,Normal,106500
7446,4,5,788,1,2,0,Abnorml,100000
10134,5,6,1034,1,2,1,Normal,109000
9571,5,6,1144,1,3,1,Normal,129000
7200,5,5,894,1,2,2,Normal,123000
7590,5,5,1812,2,4,1,Normal,169500
8967,5,2,1077,1,2,1,Abnorml,67000
8125,7,5,1550,2,2,2,Normal,241000
14963,8,5,1288,1,1,2,Normal,245500
8767,7,5,1310,2,3,2,Partial,164990
10200,5,8,672,1,2,1,Normal,108000
12090,8,5,2263,2,4,2,Abnorml,258000
10364,6,5,1572,2,3,2,Normal,168000
9991,4,4,1620,2,3,2,Normal,150000
10480,6,5,1639,1,3,1,Normal,115000
15576,6,7,1680,2,4,1,Normal,177000
14154,7,5,2172,2,3,3,Partial,280000
10800,8,5,2078,2,3,3,Partial,339750
9571,5,3,1276,1,3,1,Abnorml,60000
34650,5,5,1056,1,3,2,Normal,145000
4403,7,5,1478,2,2,2,Partial,222000
8960,5,6,1028,1,2,2,Normal,115000
11228,7,5,2097,2,3,3,Normal,228000
8899,7,5,1340,2,3,2,Partial,181134
7844,6,7,1400,1,3,2,Normal,149500
22420,6,6,2624,2,4,3,Normal,239000
8160,5,6,1134,1,3,1,AdjLand,126000
8450,5,6,1056,1,3,1,Normal,142000
7060,7,5,1344,2,2,4,Alloca,206300
16635,6,7,1602,2,3,2,Normal,215000
21750,5,5,988,1,2,2,Normal,113000
9200,8,5,2630,2,4,3,Normal,315000
9000,6,5,1196,1,2,1,Normal,139000
3378,7,8,1389,1,3,1,Normal,135000
12800,7,5,1644,2,2,2,Normal,275000
8593,4,6,907,1,3,1,Normal,109008
6762,7,5,1208,2,2,2,Partial,195400
11457,6,5,1412,2,3,2,Normal,175000
1680,6,5,987,1,2,1,Abnorml,85400
5586,6,7,1198,1,4,0,Abnorml,79900
1920,5,5,1365,1,2,2,Normal,122500
10839,6,5,1604,2,3,2,Normal,181000
1890,4,7,630,1,1,0,Normal,81000
10667,7,6,1661,2,3,2,Normal,212000
4400,6,8,1118,1,2,2,Normal,116000
6000,6,7,904,1,2,1,Normal,119000
4280,5,6,694,1,2,1,Normal,90350
12354,6,8,1196,1,3,2,Normal,110000
15431,10,5,2402,2,2,3,Normal,555000
12108,4,4,1440,2,4,0,Normal,118000
6240,5,7,1573,2,3,2,Normal,162900
3922,7,5,1258,2,2,3,Partial,172500
8750,7,5,1908,2,4,2,Normal,210000
9855,6,5,1689,1,3,2,Normal,127500
16492,6,6,1888,2,2,2,Normal,190000
11214,7,5,1886,2,4,2,Normal,199900
8600,6,6,1376,2,3,1,Normal,119500
6000,3,7,1183,1,2,1,Normal,120000
5684,6,8,813,1,2,1,Normal,110000
70761,7,5,1533,2,2,2,Normal,280000
9303,6,5,1756,2,3,2,Normal,204000
9000,8,5,1590,2,3,2,Normal,210000
9297,5,5,1728,2,4,2,Family,188000
9600,7,6,1242,1,3,2,Normal,175500
4571,5,5,1344,1,4,3,Abnorml,98000
53227,4,6,1663,1,2,2,Normal,256000
5100,8,7,1666,1,3,1,Normal,161000
7015,5,4,1203,1,3,1,Normal,110000
8004,8,5,1935,2,3,2,Partial,263435
7200,7,9,1135,1,3,2,Normal,155000
8281,5,5,864,1,3,1,Normal,62383
11988,6,7,1660,1,3,1,Normal,188700
8430,5,5,1040,2,3,0,Normal,124000
3072,7,5,1414,2,2,2,Normal,178740
10628,7,5,1277,1,2,2,Normal,167000
9480,5,7,1644,1,3,1,Normal,146500
11428,8,5,1634,2,3,3,Normal,250000
9291,6,5,1710,2,3,2,Normal,187000
6820,8,5,1502,1,1,2,Normal,212000
11952,7,6,1969,2,3,2,Normal,190000
3675,6,5,1072,1,2,2,Normal,148000
14977,8,5,1976,2,2,3,Partial,440000
5330,8,5,1652,2,2,2,Normal,251000
8480,5,6,970,1,2,2,Normal,132500
13125,6,5,1493,2,3,2,Normal,208900
13693,9,5,2643,2,3,3,Normal,380000
10637,8,5,1718,2,3,3,Normal,297000
5925,4,7,1131,1,2,2,Alloca,89471
16033,9,5,1850,2,3,3,Normal,326000
11846,9,5,1792,2,2,3,Normal,374000
2500,7,8,1826,1,4,1,Normal,155000
4500,6,5,1216,2,2,2,Normal,164000
